"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
29110-00013,율곡,어린이공원,,광주광역시 동구 산수동 708,35.160059,126.937324,4216.4,,,,,,1990-12-12,광주광역시 동구,062-608-2962,2021-09-06
29110-00014,월남,어린이공원,,광주광역시 동구 월남동 623,35.103381,126.938361,1501.7,,,,,,2011-07-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00015,학운1,소공원,,광주광역시 동구 학동 810,35.130529,126.933169,63,,,,,,2006-11-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00016,학운2,소공원,,광주광역시 동구 학동 781-15,35.131358,126.932773,43,,,,,,2006-11-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00017,학운3,소공원,,광주광역시 동구 학동 782-1,35.13123822,126.9328138,45,,,,,,2006-11-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00018,서남2-1,소공원,,광주광역시 동구 서석동 106-14,35.144371,126.922377,91.2,,,,,,2006-11-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00019,서남2-2,소공원,,광주광역시 동구 서석동 117-2,35.144162,126.922333,70.7,,,,,,2006-11-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00020,산수1동 3-1,소공원,,광주광역시 동구 산수동 489-16,35.154726,126.923214,332,,,,,,2010-04-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00021,산수1동 3-2,소공원,,광주광역시 동구 산수동 487-21,35.15486584,126.9226013,270,,,,,,2010-09-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00022,산수1동 3-3,소공원,,광주광역시 동구 산수동 490-7,35.154903,126.923236,290,,,,,,2010-11-01,광주광역시 동구,062-608-2962,2021-09-06
29110-00023,지원2,소공원,,광주광역시 동구 용산동 226,35.119109,126.930703,603,,,,,,2011-11-15,광주광역시 동구,062-608-2962,2021-09-06
29110-00024,동명2-1,소공원,,광주광역시 동구 동명동 181-1,35.152792,126.925925,1113,,,,,,2012-06-15,광주광역시 동구,062-608-2962,2021-09-06
29110-00025,동명2-2,소공원,,광주광역시 동구 동명동 207-70,35.152636,126.924836,90,,,,,,2013-04-15,광주광역시 동구,062-608-2962,2021-09-06
29110-00026,지원3-1,소공원,,광주광역시 동구 소태동 229,35.121172,126.935486,596,,,,,,2016-02-17,광주광역시 동구,062-608-2962,2021-09-06
29110-00027,지원3-2,소공원,,광주광역시 동구 소태동 303,35.12137039,126.9367301,459,,,,,,2016-02-17,광주광역시 동구,062-608-2962,2021-09-06
29110-00028,학동,역사공원,,광주광역시 동구 학동 1013,35.13113755,126.9263174,2049.32,,,,,,2005-11-01,광주광역시 동구,062-613-2962,2021-09-06
29140-00001,5·18 기념,근린공원,,광주광역시 서구 쌍촌동 1268,35.15830536,126.8575559,204985.6,,,,,,1994-11-12,광주광역시 518기념문화센터,062-613-7921,2021-09-06
29140-00002,상록,근린공원,,광주광역시 서구 농성동311-1,35.15564453,126.8886003,24690,,,,,,2003-11-15,광주광역시 시립미술관,062-613-7149,2021-09-06
29140-00003,평화,근린공원,,광주광역시 서구 치평동 1204,35.15654877,126.8516013,24178,,,,,,2010-03-04,광주광역시 푸른도시사업소,062-613-6467,2021-09-06
29140-00004,염주,근린공원,,광주광역시 서구 화정동 843,35.14179467,126.8790066,10400,,,,,,1982-03-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00005,시민,근린공원,,광주광역시 서구 치평동1162,35.15422831,126.8420517,170384.9,,,,,,1994-11-13,광주광역시 서구,062-360-7988,2021-09-06
29140-00006,마재,근린공원,,광주광역시 서구 금호동 789,35.13082708,126.8603245,18267.3,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00007,신암,근린공원,,광주광역시 서구 풍암동 1126,35.12484181,126.8791753,11417.7,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00008,풍암,근린공원,,광주광역시 서구 풍암동 1065,35.1535762,126.885235,14344.9,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00009,상무2지구근린1,근린공원,,광주광역시 서구 유촌동 840-2,35.1307905,126.854249,5756,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00010,상무2지구근린2,근린공원,,광주광역시 서구 쌍촌동 1313-1,35.16182098,126.8585154,8451.8,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00011,상무2지구근린3,근린공원,,광주광역시 서구 쌍촌동 1337-1,35.161629,126.861471,9997.5,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00012,상무2지구근린4,근린공원,,광주광역시 서구 쌍촌동 1339,35.152035,126.863733,1462,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00013,상무4지구근린1,근린공원,,광주광역시 서구 유촌동 869,35.162781,126.859732,25250.5,,,,,,1996-06-29,광주광역시 서구,062-360-7988,2021-09-06
29140-00014,죽림,근린공원,,광주광역시 서구 동천동 508,35.1682265,126.8573846,10137.5,,,,,,2001-11-24,광주광역시 서구,062-360-7988,2021-09-06
29140-00015,유적,근린공원,,광주광역시 서구 동천동 660,35.16879747,126.8714428,10137.5,,,,,,2001-11-24,광주광역시 서구,062-360-7988,2021-09-06
29140-00016,농성,어린이공원,,광주광역시 서구 농성동 669-3,35.14829089,126.8870628,2100,,,,,,1970-02-05,광주광역시 서구,062-360-7988,2021-09-06
29140-00017,내방,어린이공원,,광주광역시 서구 내방동 837,35.15316181,126.8724947,3200,,,,,,1970-02-05,광주광역시 서구,062-360-7988,2021-09-06
29140-00018,쌍촌,어린이공원,,광주광역시 서구 쌍촌동 967,35.15154737,126.8601442,1500,,,,,,1970-02-05,광주광역시 서구,062-360-7988,2021-09-06
29140-00019,꿈마당,어린이공원,,광주광역시 서구 화정동 892,35.14084666,126.8769865,1500,,,,,,1983-12-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00020,콩콩,어린이공원,,광주광역시 서구 화정동 891,35.14336989,126.8764209,1500,,,,,,1983-12-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00021,효행,어린이공원,,광주광역시 서구 화정동 802,35.14412676,126.8726668,1500,,,,,,1983-12-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00022,주동,어린이공원,,광주광역시 서구 화정동 1081,35.140974,126.884683,1610,,,,,,1986-06-04,광주광역시 서구,062-360-7988,2021-09-06
29140-00023,쌍학,어린이공원,,광주광역시 서구 쌍촌동 1205,35.14717048,126.8666395,8920,,,,,,1987-12-21,광주광역시 서구,062-360-7988,2021-09-06
29140-00024,효광,어린이공원,,광주광역시 서구 쌍촌동 1213,35.14600926,126.8631693,2317.9,,,,,,1987-12-21,광주광역시 서구,062-360-7988,2021-09-06
29140-00025,맛고을,어린이공원,,광주광역시 서구 화정동 914-1,35.14286811,126.8723439,2912,,,,,,1990-09-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00026,학생독립,어린이공원,,광주광역시 서구 화정동 903-1,35.14385414,126.8672551,1500,,,,,,1990-12-06,광주광역시 서구,062-360-7988,2021-09-06
29140-00027,새싹,어린이공원,,광주광역시 서구 쌍촌동 1233-11,35.14390705,126.8694936,1650,,,,,,1990-12-06,광주광역시 서구,062-360-7988,2021-09-06
29140-00028,우정,어린이공원,,광주광역시 서구 화정동 929-2,35.13748091,126.8717159,3317,,,,,,1990-09-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00029,믿음,어린이공원,,광주광역시 서구 쌍촌동 1236-1,35.14506561,126.860862,1500,,,,,,1991-09-19,광주광역시 서구,062-360-7988,2021-09-06
29140-00030,반달,어린이공원,,광주광역시 서구 금호동 741-2,35.13648423,126.8574005,2654.2,,,,,,1991-09-19,광주광역시 서구,062-360-7988,2021-09-06
29140-00031,사랑,어린이공원,,광주광역시 서구 쌍촌동 1258-3,35.141211,126.8605174,1815.9,,,,,,1991-09-19,광주광역시 서구,062-360-7988,2021-09-06
29140-00032,소망,어린이공원,,광주광역시 서구 쌍촌동 1246-2,35.14344799,126.8587973,1510.5,,,,,,1991-09-19,광주광역시 서구,062-360-7988,2021-09-06
29140-00033,푸름,어린이공원,,광주광역시 서구 금호동 743-1,35.13720954,126.8610334,3745.4,,,,,,1991-09-19,광주광역시 서구,062-360-7988,2021-09-06
29140-00034,해님,어린이공원,,광주광역시 서구 금호동 721-1,35.14080017,126.8575861,1638,,,,,,1991-09-19,광주광역시 서구,062-360-7988,2021-09-06
29140-00035,농성공단,어린이공원,,광주광역시 서구 농성동 417-8,35.160056,126.884847,2084,,,,,,1992-08-06,광주광역시 서구,062-360-7988,2021-09-06
29140-00036,풍암,어린이공원,,광주광역시 서구 풍암동 680-1,35.118314,126.867254,1708,,,,,,1992-08-06,광주광역시 서구,062-360-7988,2021-09-06
29140-00037,느티나무,어린이공원,,광주광역시 서구 치평동 1192,35.159801,126.846567,1519,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00038,무지개,어린이공원,,광주광역시 서구 쌍촌동 1302-2,35.15319827,126.8598077,2716,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00039,오월,어린이공원,,광주광역시 서구 쌍촌동 1288-2,35.15587992,126.8622528,2057.1,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00040,운천,어린이공원,,광주광역시 서구 치평동 1168-3,35.15329763,126.8465895,2794.1,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00041,장수,어린이공원,,광주광역시 서구 치평동 1166-10,35.15714776,126.8433994,8084.1,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00042,치평,어린이공원,,광주광역시 서구 치평동 1171-9,35.1496564,126.8439713,4416.3,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00043,해오리,어린이공원,,광주광역시 서구 치평동 1174-1,35.1465485,126.8439597,3551.5,,,,,,1994-11-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00044,개나리,어린이공원,,광주광역시 서구 풍암동 1056,35.120501,126.877528,3837.4,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00045,금당,어린이공원,,광주광역시 서구 풍암동 1165,35.127677,126.883968,3277.8,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00046,금호,어린이공원,,광주광역시 서구 금호동 811,35.129224,126.857342,3608.9,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00047,달맞이,어린이공원,,광주광역시 서구 금호동 833,35.123794,126.859225,1631.2,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00048,당산,어린이공원,,광주광역시 서구 풍암동 1129,35.123995,126.881616,4728.1,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00049,살구,어린이공원,,광주광역시 서구 풍암동 1062,35.121028,126.882554,2191,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00050,새롬,어린이공원,,광주광역시 서구 풍암동 1008,35.122905,126.868453,3090.1,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00051,운리,어린이공원,,광주광역시 서구 풍암동 947,35.12288931,126.864779,8548.7,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00052,희망,어린이공원,,광주광역시 서구 풍암동 1052,35.123787,126.876195,2207,,,,,,1995-06-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00053,금부,어린이공원,,광주광역시 서구 금호동 749,35.13463818,126.857351,1461.8,,,,,,1996-01-20,광주광역시 서구,062-360-7988,2021-09-06
29140-00054,풍금,어린이공원,,광주광역시 서구 금호동 771-1,35.13311005,126.8609482,5414.2,,,,,,1996-01-20,광주광역시 서구,062-360-7988,2021-09-06
29140-00055,상일,어린이공원,,광주광역시 서구 쌍촌동 1344-6,35.159544,126.865365,2549.6,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00056,서광,어린이공원,,광주광역시 서구 쌍촌동 1358,35.157198,126.864612,3067.2,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00057,유촌,어린이공원,,광주광역시 서구 쌍촌동 1326-1,35.16086468,126.8577838,3733.4,,,,,,1996-05-23,광주광역시 서구,062-360-7988,2021-09-06
29140-00058,극락,어린이공원,,광주광역시 서구 유촌동 857,35.165255,126.858317,1643.3,,,,,,1996-07-11,광주광역시 서구,062-360-7988,2021-09-06
29140-00059,유덕,어린이공원,,광주광역시 서구 유촌동 873,35.164624,126.862005,1517.4,,,,,,1996-07-11,광주광역시 서구,062-360-7988,2021-09-06
29140-00060,새누리,어린이공원,,광주광역시 서구 풍암동 903,35.121169,126.863672,2187.1,,,,,,1996-12-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00061,햇살,어린이공원,,광주광역시 서구 금호동 862,35.122109,126.859966,2322,,,,,,1996-12-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00062,화개,어린이공원,,광주광역시 서구 금호동 890,35.124099,126.856268,1877.1,,,,,,1996-12-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00063,원마륵,어린이공원,,광주광역시 서구 치평동 1280-1,35.144901,126.841092,1500.1,,,,,,2001-08-25,광주광역시 서구,062-360-7988,2021-09-06
29140-00064,백구,어린이공원,,광주광역시 서구 동천동 503,35.171703,126.858716,1601.9,,,,,,2001-12-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00065,자미,어린이공원,,광주광역시 서구 동천동 539,35.171997,126.858773,1505.5,,,,,,2001-12-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00066,화추,어린이공원,,광주광역시 서구 동천동 609,35.170924,126.8642121,1592.5,,,,,,2001-12-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00067,행자,어린이공원,,광주광역시 서구 동천동 646,35.171703,126.858716,1742.2,,,,,,2001-12-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00068,강나루,어린이공원,,광주광역시 서구 동천동 729,35.171703,126.858716,2215.1,,,,,,2001-12-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00069,경열,어린이공원,,광주광역시 서구 농성동 73-1,35.153118,126.891822,901,,,,,,2011-03-22,광주광역시 서구,062-360-7988,2021-09-06
29140-00070,U대회,어린이공원,,광주광역시 서구 화정동 1621,35.144733,126.885183,2077.6,,,,,,2008-09-16,광주광역시 서구,062-360-7988,2021-09-06
29140-00071,양1동 1,소공원,,광주광역시 서구 양동 320,35.155475,126.898842,171,,,,,,2007-05-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00072,양1동 2,소공원,,광주광역시 서구 양동 302-94,35.1542397,126.8991314,79,,,,,,2007-05-30,광주광역시 서구,062-360-7988,2021-09-06
29140-00073,덕흥동 1,소공원,,광주광역시 서구 덕흥동 477-1,35.16715572,126.8373738,889,,,,,,2006-08-16,광주광역시 서구,062-360-7988,2021-09-06
29140-00074,덕흥동 2,소공원,,광주광역시 서구 덕흥동 454,35.166619,126.837582,501,,,,,,2006-08-16,광주광역시 서구,062-360-7988,2021-09-06
29140-00075,농성1동 1,소공원,,광주광역시 서구 농성동 30-10,35.156464,126.891501,280,,,,,,2007-08-16,광주광역시 서구,062-360-7988,2021-09-06
29140-00076,유촌동,소공원,,광주광역시 서구 유촌동 518,35.165895,126.852564,559,,,,,,2011-04-15,광주광역시 서구,062-360-7988,2021-09-06
29140-00077,농성1동 2,소공원,,광주광역시 서구 농성동 74-12,35.154566,126.887912,1082,,,,,,2011-04-15,광주광역시 서구,062-360-7988,2021-09-06
29140-00078,서창동 1,소공원,,광주광역시 서구 서창동 464-3,35.107357,126.822745,611,,,,,,2008-02-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00079,화정주공소공 1,소공원,,광주광역시 서구 화정동 1618,35.107357,126.822745,252.4,,,,,,2012-04-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00080,농성동,소공원,,광주광역시 서구 농성동 374-1,35.156042,126.888499,417,,,,,,2016-10-01,광주광역시 서구,062-360-7988,2021-09-06
29140-00081,마륵,소공원,,광주광역시 서구 마륵동 51,,,2051,,,,,,2017-06-12,광주광역시 서구,062-360-7988,2021-09-06
29140-00082,상무,수변공원,,광주광역시 서구 쌍촌동 869-9,35.14717659,126.8562186,74020,,,,,,1967-02-20,광주광역시 서구,062-360-7726,2021-09-06
29140-00083,전평제,수변공원,,광주광역시 서구 매월동 519-1,35.116032,126.848302,44000,,,,,,2006-07-14,광주광역시 서구,062-360-7726,2021-09-06
29155-00001,아시아다문화커뮤니티,문화공원,,광주광역시 남구 구동 1,35.148296,126.909862,5547,,,,,,2009-01-06,광주광역시 푸른도시사업소,062-613-6467,2021-09-06
29155-00002,광주,역사공원,,광주광역시 남구 구동 21-1,35.14707323,126.9100957,46782,,,,,,1943-04-19,광주광역시 푸른도시사업소,062-613-6467,2021-09-06
29155-00003,아시아전통문화,역사공원,,광주광역시 남구 구동 24,35.14550428,126.908944,2571,,,,,,2009-01-06,광주광역시 푸른도시사업소,062-613-6467,2021-09-06
29155-00004,사직,역사공원,,광주광역시 남구 사동 177,35.14330864,126.9103826,71577,,,,,,1943-04-19,광주광역시 푸른도시사업소,062-613-6467,2021-09-06
29155-00005,봉선,근린공원,,광주광역시 남구 봉선동 1016,35.13051709,126.9110622,10288.8,,,,,,1984-12-27,광주광역시 남구,062-607-3814,2021-09-06
29155-00006,유안,근린공원,,광주광역시 남구 봉선동 134,35.1231668,126.9166045,20675,,,,,,1985-11-12,광주광역시 남구,062-607-3814,2021-09-06
29155-00007,풀빛,근린공원,,광주광역시 남구 노대동 727,35.11004546,126.9008268,53549.1,,,,,,2003-11-12,광주광역시 남구,062-607-3814,2021-09-06
29155-00008,하늘빛,근린공원,,광주광역시 남구 노대동 826,35.108309,126.906528,14403.1,,,,,,2003-11-12,광주광역시 남구,062-607-3814,2021-09-06
29155-00009,물빛,근린공원,,광주광역시 남구 노대동 865,35.10513061,126.9045796,44176.6,,,,,,2003-11-12,광주광역시 남구,062-607-3814,2021-09-06
29155-00010,봉선2,근린공원,,광주광역시 남구 봉선동 88,35.119447,126.917425,12056,,,,,,2005-04-04,광주광역시 남구,062-607-3814,2021-09-06
29155-00011,향등마을,근린공원,,광주광역시 남구 행암동 520,35.101745,126.880086,41554,,,,,,2005-12-29,광주광역시 남구,062-607-3814,2021-09-06
29155-00012,해마루,근린공원,,광주광역시 남구 행암동 554,35.102706,126.885521,15264.2,,,,,,2005-12-29,광주광역시 남구,062-607-3814,2021-09-06
29155-00013,천변길,근린공원,,광주광역시 남구 행암동 525,35.10098119,126.8820714,43621.1,,,,,,2005-12-29,광주광역시 남구,062-607-3814,2021-09-06
29155-00014,효천,근린공원,,광주광역시 남구 임암동 산51,35.10411589,126.8649723,168587,,,,,,2008-12-30,광주광역시 남구,062-607-3814,2021-09-06
29155-00015,진월지구,소공원,,광주광역시 남구 노대동 869,35.102311,126.904943,4190.2,,,,,,2008-12-31,광주광역시 남구,062-607-3816,2021-09-06
29155-00016,주월,소공원,,광주광역시 남구 주월동 1309,35.130898,126.903983,195,,,,,,2013-03-01,광주광역시 남구,062-607-3816,2021-09-06
29155-00017,양림 1,소공원,,광주광역시 남구 양림동 203,35.14254863,126.9156833,279,,,,,,2011-08-01,광주광역시 남구,062-607-3816,2021-09-06
29155-00018,서동,소공원,,광주광역시 남구 서동 292,35.145184,126.906728,4579.2,,,,,,2009-12-30,광주광역시 남구,062-607-3816,2021-09-06
29155-00019,월산 제2,어린이공원,,광주광역시 남구 월산동 1034-1,35.1392906,126.8938258,2300,,,,,,1968-11-20,광주광역시 남구,062-607-3816,2021-09-06
29155-00020,봉선,어린이공원,,광주광역시 남구 주월동 1281-1,35.132236,126.903833,1800,,,,,,1968-11-20,광주광역시 남구,062-607-3816,2021-09-06
29155-00021,방림 제1,어린이공원,,광주광역시 남구 방림동 528-2,35.13240389,126.9167246,3000,,,,,,1968-11-20,광주광역시 남구,062-607-3816,2021-09-06
29155-00022,세은 3,어린이공원,,광주광역시 남구 백운동 653-136,35.135342,126.897162,753,,,,,,1979-01-20,광주광역시 남구,062-607-3816,2021-09-06
29155-00023,세은 4,어린이공원,,광주광역시 남구 월산동 1048-121,35.13648512,126.8959142,402,,,,,,1979-01-20,광주광역시 남구,062-607-3816,2021-09-06
29155-00024,세은 5,어린이공원,,광주광역시 남구 월산동 1047-13,35.136694,126.893469,883,,,,,,1979-01-20,광주광역시 남구,062-607-3816,2021-09-06
29155-00025,방죽,어린이공원,,광주광역시 남구 봉선동 484-4,35.12340907,126.9124924,3400,,,,,,1986-06-04,광주광역시 남구,062-607-3816,2021-09-06
29155-00026,방림 제2,어린이공원,,광주광역시 남구 방림동 553,35.13084515,126.9147666,1548.5,,,,,,1987-09-16,광주광역시 남구,062-607-3816,2021-09-06
29155-00027,방림 제3,어린이공원,,광주광역시 남구 방림동 557,35.1297325,126.9168392,2923.1,,,,,,1987-09-16,광주광역시 남구,062-607-3816,2021-09-06
29155-00028,봉선제1,어린이공원,,광주광역시 남구 봉선동 986,35.13029289,126.9089521,3399.2,,,,,,1987-09-16,광주광역시 남구,062-607-3816,2021-09-06
29155-00029,봉선제2,어린이공원,,광주광역시 남구 봉선동 1031,35.12884249,126.9124866,1603.3,,,,,,1987-09-16,광주광역시 남구,062-607-3816,2021-09-06
29155-00030,봉선제3,어린이공원,,광주광역시 남구 봉선동 1008,35.12732521,126.9084332,2301.8,,,,,,1987-09-16,광주광역시 남구,062-607-3816,2021-09-06
29155-00031,현대,어린이공원,,광주광역시 남구 진월동 481-27,35.116541,126.899301,1500,,,,,,1989-01-16,광주광역시 남구,062-607-3816,2021-09-06
29155-00032,향등,어린이공원,,광주광역시 남구 행암동 504,35.100576,126.878811,1330.3,,,,,,2000-09-04,광주광역시 남구,062-607-3816,2021-09-06
29155-00033,달맞이,어린이공원,,광주광역시 남구 노대동 841,35.106545,126.905473,6363.7,,,,,,2003-11-12,광주광역시 남구,062-607-3816,2021-09-06
29155-00034,쟁이마당,어린이공원,,광주광역시 남구 노대동 834,35.105534,126.908931,7711.3,,,,,,2003-11-12,광주광역시 남구,062-607-3816,2021-09-06
29155-00035,조각배,어린이공원,,광주광역시 남구 노대동 768,35.102893,126.901616,2473.9,,,,,,2003-11-12,광주광역시 남구,062-607-3816,2021-09-06
29155-00036,봉선2지구,어린이공원,,광주광역시 남구 봉선동 1064-3,35.121908,126.915895,4902,,,,,,2005-03-30,광주광역시 남구,062-607-3816,2021-09-06
29155-00037,대촌,어린이공원,,광주광역시 남구 지석동 325-5,35.08418469,126.8294499,3535,,,,,,2006-10-17,광주광역시 남구,062-607-3816,2021-09-06
29155-00038,풀향기,어린이공원,,광주광역시 남구 행암동 542,35.097786,126.883219,1840.8,,,,,,2005-12-29,광주광역시 남구,062-607-3816,2021-09-06
29155-00039,늘품,어린이공원,,광주광역시 남구 행암동 637,35.103547,126.890608,1777.5,,,,,,2005-12-29,광주광역시 남구,062-607-3816,2021-09-06
29155-00040,불로,어린이공원,,광주광역시 남구 봉선동 1086,35.119947,126.911105,6008,,,,,,2013-07-01,광주광역시 남구,062-607-3816,2021-09-06
29155-00041,조봉,어린이공원,,광주광역시 남구 봉선동 510-1,35.1233695,126.9077442,3715,,,,,,2009-04-15,광주광역시 남구,062-607-3816,2021-09-06
29155-00042,대성,어린이공원,,광주광역시 남구 진월동 878,35.115621,126.899226,1100,,,,,,1986-06-04,광주광역시 남구,062-607-3816,2021-09-06
29155-00043,화방,어린이공원,,광주광역시 남구 임암동 742,35.1052625,126.872803,1519.6,,,,,,2008-12-30,광주광역시 남구,062-607-3816,2021-09-06
29155-00044,꿈나무,어린이공원,,광주광역시 남구 임암동 812,35.105504,126.877015,1518.3,,,,,,2008-12-30,광주광역시 남구,062-607-3816,2021-09-06
29155-00045,산돌,어린이공원,,광주광역시 남구 임암동 729,35.103287,126.870631,1531.6,,,,,,2008-12-30,광주광역시 남구,062-607-3816,2021-09-06
29155-00046,임암,어린이공원,,광주광역시 남구 임암동 880,35.101817,126.873501,1529,,,,,,2008-12-30,광주광역시 남구,062-607-3816,2021-09-06
29155-00047,빛고을농촌테마,도시농업공원,,광주광역시 남구 양과동 1237-7,35.084787,126.867948,49805.9,,,,,,2016-03-15,광주광역시 남구,062-607-3851,2021-09-06
29170-00001,우치,근린공원,,광주광역시 북구 생용동 658,35.22431388,126.8942421,968868,,,,,,1987-09-25,광주광역시 우치공원관리사무소,062-613-5865,2021-09-06
29170-00002,망월,묘지공원,,광주광역시 북구 수곡동 산30-4,35.235971,126.933968,605000,,,,,,1971-06-25,광주광역시도시공사,062-266-8170,2021-09-06
29170-00003,교통,근린공원,,광주광역시 북구 오룡동 1113,35.22054602,126.8587669,62168.6,,,,,,1991-12-12,광주광역시도시공사,062-972-0054,2021-09-06
29170-00004,국립5·18민주묘지,묘지공원,,광주광역시 북구 운정동 산34,35.235085,126.939913,167770,,,,,,1995-01-05,518국립묘지관리사무소,062-268-5185,2021-09-06
29170-00005,무등산생태문화,문화공원,,광주광역시 북구 충효동 805,35.18178478,126.9962453,44010,,,,,,2016-08-15,광주광역시 북구,062-410-6437,2021-09-06
29170-00006,제2시립(영락),묘지공원,,광주광역시 북구 효령동 96,35.230903,126.916388,1032420,,,,,,1998-10-12,광주광역시도시공사,062-572-1701,2021-09-06
